id,nome,partido,uf,turno1,turno2,votou_sim,url_perfil,url_foto
204398,Felipe Francischini,UNIÃO,PR,Sim,Sim,true,https://www.camara.leg.br/deputados/204398,https://www.camara.leg.br/internet/deputado/bandep/204398.jpg
220656,Fernanda Pessoa,UNIÃO,CE,Sim,Sim,true,https://www.camara.leg.br/deputados/220656,https://www.camara.leg.br/internet/deputado/bandep/220656.jpg
141431,Fernando Coelho Filho,UNIÃO,PE,Sim,Sim,true,https://www.camara.leg.br/deputados/141431,https://www.camara.leg.br/internet/deputado/bandep/141431.jpg
220702,Geraldo Mendes,UNIÃO,PR,Sim,Sim,true,https://www.camara.leg.br/deputados/220702,https://www.camara.leg.br/internet/deputado/bandep/220702.jpg
226179,Gisela Simona,UNIÃO,MT,Sim,Sim,true,https://www.camara.leg.br/deputados/226179,https://www.camara.leg.br/internet/deputado/bandep/226179.jpg
204391,José Nelto,UNIÃO,GO,Sim,Sim,true,https://www.camara.leg.br/deputados/204391,https://www.camara.leg.br/internet/deputado/bandep/204391.jpg
74554,José Rocha,UNIÃO,BA,Sim,Sim,true,https://www.camara.leg.br/deputados/74554,https://www.camara.leg.br/internet/deputado/bandep/74554.jpg
204457,Juninho do Pneu,UNIÃO,RJ,Sim,Sim,true,https://www.camara.leg.br/deputados/204457,https://www.camara.leg.br/internet/deputado/bandep/204457.jpg
178886,Juscelino Filho,UNIÃO,MA,Sim,Sim,true,https://www.camara.leg.br/deputados/178886,https://www.camara.leg.br/internet/deputado/bandep/178886.jpg
204536,Kim Kataguiri,UNIÃO,SP,Nao,Nao,false,https://www.camara.leg.br/deputados/204536,https://www.camara.leg.br/internet/deputado/bandep/204536.jpg
92102,Leur Lomanto Júnior,UNIÃO,BA,Sim,Sim,true,https://www.camara.leg.br/deputados/92102,https://www.camara.leg.br/internet/deputado/bandep/92102.jpg
74478,Luciano Bivar,UNIÃO,PE,Sim,Sim,true,https://www.camara.leg.br/deputados/74478,https://www.camara.leg.br/internet/deputado/bandep/74478.jpg
141485,Luiz Carlos Busato,UNIÃO,RS,Sim,Sim,true,https://www.camara.leg.br/deputados/141485,https://www.camara.leg.br/internet/deputado/bandep/141485.jpg
220648,Marangoni,UNIÃO,SP,Sim,Sim,true,https://www.camara.leg.br/deputados/220648,https://www.camara.leg.br/internet/deputado/bandep/220648.jpg
178943,Marcos Soares,UNIÃO,RJ,Sim,Sim,true,https://www.camara.leg.br/deputados/178943,https://www.camara.leg.br/internet/deputado/bandep/178943.jpg
220609,Maurício Carvalho,UNIÃO,RO,Sim,Sim,true,https://www.camara.leg.br/deputados/220609,https://www.camara.leg.br/internet/deputado/bandep/220609.jpg
220591,Meire Serafim,UNIÃO,AC,Sim,Sim,true,https://www.camara.leg.br/deputados/220591,https://www.camara.leg.br/internet/deputado/bandep/220591.jpg
74428,Mendonça Filho,UNIÃO,PE,Sim,Sim,true,https://www.camara.leg.br/deputados/74428,https://www.camara.leg.br/internet/deputado/bandep/74428.jpg
178997,Moses Rodrigues,UNIÃO,CE,Sim,Sim,true,https://www.camara.leg.br/deputados/178997,https://www.camara.leg.br/internet/deputado/bandep/178997.jpg
220617,Murillo Gouvea,UNIÃO,RJ,Sim,Sim,true,https://www.camara.leg.br/deputados/220617,https://www.camara.leg.br/internet/deputado/bandep/220617.jpg
204479,Nicoletti,UNIÃO,RR,Sim,Sim,true,https://www.camara.leg.br/deputados/204479,https://www.camara.leg.br/internet/deputado/bandep/204479.jpg
220706,Padovani,UNIÃO,PR,Sim,Sim,true,https://www.camara.leg.br/deputados/220706,https://www.camara.leg.br/internet/deputado/bandep/220706.jpg
230762,Pastor Claudio Mariano,UNIÃO,PA,Sim,Sim,true,https://www.camara.leg.br/deputados/230762,https://www.camara.leg.br/internet/deputado/bandep/230762.jpg
180214,Pastor Diniz,UNIÃO,RR,Sim,Sim,true,https://www.camara.leg.br/deputados/180214,https://www.camara.leg.br/internet/deputado/bandep/180214.jpg
74095,Pauderney Avelino,UNIÃO,AM,Sim,Sim,true,https://www.camara.leg.br/deputados/74095,https://www.camara.leg.br/internet/deputado/bandep/74095.jpg
178860,Paulo Azi,UNIÃO,BA,Sim,Sim,true,https://www.camara.leg.br/deputados/178860,https://www.camara.leg.br/internet/deputado/bandep/178860.jpg
122974,Pedro Lucas Fernandes,UNIÃO,MA,Sim,Sim,true,https://www.camara.leg.br/deputados/122974,https://www.camara.leg.br/internet/deputado/bandep/122974.jpg
220626,Rafael Simoes,UNIÃO,MG,Sim,Sim,true,https://www.camara.leg.br/deputados/220626,https://www.camara.leg.br/internet/deputado/bandep/220626.jpg
221329,Ricardo Abrão,UNIÃO,RJ,Sim,Sim,true,https://www.camara.leg.br/deputados/221329,https://www.camara.leg.br/internet/deputado/bandep/221329.jpg
141531,Rodrigo de Castro,UNIÃO,MG,Sim,Sim,true,https://www.camara.leg.br/deputados/141531,https://www.camara.leg.br/internet/deputado/bandep/141531.jpg
165470,Rodrigo Valadares,UNIÃO,SE,Sim,Sim,true,https://www.camara.leg.br/deputados/165470,https://www.camara.leg.br/internet/deputado/bandep/165470.jpg
220644,Rosangela Moro,UNIÃO,SP,Nao,Nao,false,https://www.camara.leg.br/deputados/220644,https://www.camara.leg.br/internet/deputado/bandep/220644.jpg
220569,Silvye Alves,UNIÃO,GO,Sim,Sim,true,https://www.camara.leg.br/deputados/220569,https://www.camara.leg.br/internet/deputado/bandep/220569.jpg
